PLOT,ASPECT,SLOPE,POSITION,RELIEF,ROCKS,HURRICANE,FIRE1957,ABANDON,SERIES,USE,DRAINAGE,PLANTATION,SCS,MOSS
1,310,1,LOW,2,3,3,2,1885,1,4,2,0,1,1
2,0,0,MID LOW,3,4,5,2,1880,3,3,2,0,1,1
3,282,4,LOW,3,3,3,2,1865,3,4,5,0,1,0
4,113,1,LOW,3,4,3,2,1865,2,4,6,0,0,0
5,0,0,LOW,3,0,3,2,NA,7,4,6,0,0,0
6,246,10,MID,2,7,1,2,1870,1,4,3,0,1,0
7,0,0,LOW,3,0,3,2,NA,7,4,6,0,0,0
8,54,7,MID,4,4,6,2,1870,1,3,2,0,1,0
9,66,8,MID LOW,2,5,2,2,1870,2,3,2,0,1,0
10,47,9,MID,2,5,2,2,1880,14,3,2,0,1,1
11,55,14,MID,3,3,3,2,1880,14,3,2,0,1,1
12,70,10,MID,2,5,2,2,1880,14,3,2,0,1,1
13,291,6,MID,3,4,5,2,1880,2,4,3,0,1,1
14,119,1,MID LOW,3,4,3,2,1880,2,4,3,0,1,1
15,210,8,MID,3,3,5,2,1870,1,3,4,0,1,0
16,100,6,MID,2,4,2,2,1880,3,3,2,0,1,1
17,71,5,MID,2,4,3,2,1880,3,3,2,0,1,0
18,130,3,MID,3,4,5,2,1900,3,3,2,0,1,0
19,133,4,MID,3,4,4,2,NA,1,2,2,0,1,0
20,56,2,LOW,3,4,3,2,1880,2,4,4,0,1,1
21,50,5,MID LOW,3,4,3,2,1880,2,4,2,0,1,0
22,127,4,MID,2,4,5,2,1900,3,3,2,0,1,0
23,109,8,MID,2,4,4,2,1880,14,3,2,0,1,1
24,250,13,MID,3,6,5,2,1880,14,3,3,0,1,0
25,306,6,UPPER,1,0,6,2,1900,1,3,2,0,1,1
26,280,12,MID,2,2,4,2,1900,1,3,2,0,1,1
27,316,12,MID,1,4,4,2,1880,2,3,3,0,1,0
28,32,7,MID,2,4,6,2,1880,14,3,3,0,1,1
29,25,2,LOW,2,4,4,2,NA,2,4,6,0,0,0
30,165,1,UPPER,4,1,6,2,1860,1,3,4,0,1,0
31,300,3,MID LOW,3,3,3,2,1860,1,3,4,0,1,0
32,240,2,MID,2,3,3,2,1870,1,3,5,0,1,0
33,0,0,LOW,3,3,3,2,1870,2,3,6,0,0,1
34,149,1,MID,4,2,4,2,1870,1,2,2,0,0,1
35,228,2,MID LOW,2,4,4,2,1870,1,3,5,0,1,0
36,300,1,LOW,4,3,3,2,1870,2,3,5,0,0,1
37,0,0,LOW,2,2,0,2,1915,2,1,3,0,1,0
38,170,2,MID,2,3,3,2,1860,1,3,4,0,1,1
39,235,11,MID,2,2,4,2,1860,1,3,2,0,1,1
40,203,3,MID LOW,2,3,3,2,1850,2,3,4,0,1,0
41,196,7,MID LOW,2,5,2,2,1850,2,4,5,0,1,0
42,0,0,LOW,4,0,3,2,1850,13,4,6,0,1,0
43,220,1,MID LEV,3,2,6,2,1850,1,3,1,0,0,0
44,110,2,LOW,2,3,4,2,1850,13,3,5,0,0,0
45,298,8,MID,3,4,2,2,1850,1,3,4,0,1,0
46,176,3,UPPER,3,2,3,2,NA,1,4,2,0,1,0
47,90,16,MID,2,4,4,2,NA,1,3,2,0,1,1
48,326,5,MID,2,5,3,2,1870,1,4,2,0,1,0
49,0,0,LOW,4,4,2,2,NA,2,4,5,0,0,0
50,248,2,UPPER,3,2,1,2,1850,1,2,2,0,1,0
51,261,2,MID,4,3,1,2,1850,1,2,1,0,1,0
52,122,10,MID LOW,2,6,2,2,1880,1,4,4,0,1,0
53,198,4,MID LOW,1,7,2,2,1880,3,4,5,0,0,1
54,330,7,MID,3,2,2,1,1850,1,2,2,0,0,1
55,254,18,MID,2,3,2,2,1905,3,3,3,0,1,0
56,145,6,UPPER,2,3,6,1,1875,1,1,2,0,1,1
57,256,14,MID,2,6,2,2,1880,3,4,2,0,1,1
58,234,18,MID,1,6,2,2,1880,3,3,1,0,1,1
59,234,14,MID,2,4,1,2,1880,3,3,2,0,1,0
60,196,8,MID,4,2,3,2,1880,5,3,3,0,1,0
61,214,6,MID,1,3,3,2,1905,5,3,3,0,1,1
62,306,8,MID,1,4,1,2,1905,4,3,2,0,1,0
63,240,6,MID,1,3,1,2,1905,5,3,2,0,1,0
64,198,5,MID,2,4,3,2,1905,5,3,4,0,1,0
65,210,7,MID,1,3,3,2,1905,5,3,2,0,1,1
66,180,6,MID,3,4,6,2,NA,5,3,2,0,1,1
67,304,3,MID,3,2,6,1,1875,1,2,2,0,1,1
68,168,2,MID LEV,1,2,4,1,1913,1,2,2,0,1,1
69,198,6,MID,1,6,4,2,1905,5,3,1,0,0,0
70,192,4,MID LOW,3,6,2,2,1905,2,3,3,0,1,0
71,215,6,MID LOW,2,5,4,2,NA,3,3,2,0,1,0
72,200,3,MID LOW,2,4,3,2,1895,2,3,5,0,1,1
73,140,2,MID LOW,1,3,3,2,1895,4,1,5,0,1,1
74,160,10,MID,1,5,3,2,1870,14,3,2,0,1,0
75,234,10,MID,1,3,3,2,1905,3,3,2,0,1,0
76,345,1,LOW,2,6,3,2,NA,1,4,2,0,1,1
77,280,6,MID,2,2,0,2,1895,1,3,2,0,1,1
78,85,28,MID,2,4,3,2,1870,14,3,2,0,1,1
79,0,0,LOW,1,2,0,2,1895,2,3,6,0,0,0
80,322,2,MID LOW,2,2,3,2,1885,1,4,3,0,1,1
81,0,0,MID LEV,2,3,0,2,NA,1,2,2,0,1,
82,0,0,MID LOW,2,3,0,2,1885,1,3,4,0,1,1
83,0,0,LOW,2,4,1,2,1850,2,4,5,0,0,0
84,0,0,MID LOW,4,3,0,2,1895,2,3,5,0,1,1
85,90,20,MID,2,6,2,2,1870,14,3,2,0,0,1
86,55,2,UPPER,4,2,5,2,1895,1,2,3,0,1,1
87,220,2,MID,3,2,6,2,1895,1,2,2,0,1,0
88,222,1,MID LEV,1,2,2,2,1860,2,3,4,0,1,0
89,120,14,MID,2,6,2,2,1870,14,3,2,0,1,1
90,0,0,LOW,1,0,2,2,1895,2,3,5,0,1,1
91,85,2,MID,4,2,5,2,1895,1,3,2,0,1,1
92,242,4,MID,2,4,3,2,1860,2,3,3,0,1,0
93,106,1,MID,3,2,6,2,1920,1,1,3,0,1,1
94,0,0,MID LOW,4,3,5,2,1895,1,3,2,0,1,1
95,314,6,MID,2,4,2,2,1850,4,4,4,0,1,0
96,350,1,LOW,3,2,2,2,1850,11,3,5,0,1,0
97,0,0,MID LOW,3,4,4,2,1870,2,3,5,0,1,1
98,0,0,MID,2,2,6,2,1920,4,3,3,0,1,1
99,0,0,MID LEV,1,3,2,2,1860,4,3,4,0,1,0
100,215,3,MID,4,4,3,2,1895,1,3,2,0,1,0
101,133,3,MID,1,2,3,2,1895,1,1,2,0,1,1
102,226,4,LOW,3,3,1,2,1895,2,3,5,0,0,0
103,0,0,MID,3,4,0,2,1895,1,3,2,0,1,0
104,170,2,MID LOW,3,2,0,2,1915,2,2,4,0,1,1
105,256,5,MID LOW,3,4,6,2,1870,2,3,4,0,1,0
106,319,9,MID,3,3,2,2,1850,1,3,3,0,1,1
107,190,2,UPPER,3,4,3,1,1870,6,3,5,0,1,1
108,298,5,MID,2,2,4,1,1850,1,4,2,0,1,1
109,200,2,MID,2,2,5,2,1860,1,3,3,0,1,0
110,268,8,MID,2,2,4,1,1850,1,4,2,0,1,1
111,322,5,MID,2,3,2,1,1850,1,3,3,0,1,1
112,85,12,MID,2,4,3,1,1860,1,3,2,0,1,0
113,220,6,MID LOW,4,5,4,2,1870,2,3,2,0,1,0
114,40,10,MID,2,6,2,2,1870,3,3,2,0,1,1
115,108,32,MID,1,7,2,2,1870,14,3,2,0,0,1
116,116,10,MID,2,5,5,2,1870,14,3,2,0,1,0
117,225,1,MID,2,3,3,2,1860,4,3,2,0,1,0
118,303,7,MID,3,3,1,2,1900,2,3,5,0,1,1
119,240,3,MID LOW,2,4,3,2,1860,2,3,6,0,0,0
120,0,0,LOW,3,0,0,2,NA,1,3,5,0,0,0
121,194,10,MID,2,3,4,1,1860,1,3,2,0,1,1
122,259,5,MID,3,2,2,2,1860,1,3,2,0,1,1
123,263,6,MID,2,2,3,2,1860,1,3,3,0,1,1
124,333,1,MID LOW,3,3,1,2,1900,2,3,5,0,0,1
125,345,3,MID,2,3,3,2,1860,4,3,3,0,1,1
126,311,4,MID,2,0,6,2,1860,1,2,2,0,1,1
127,261,6,MID LOW,3,4,2,2,1860,4,3,2,0,1,0
128,0,0,MID LOW,2,0,6,2,NA,1,2,2,0,1,0
129,360,8,MID LOW,2,5,1,2,1870,1,4,3,0,1,0
130,72,17,MID,2,3,5,2,NA,1,3,2,0,1,0
131,230,1,LOW,3,5,3,2,NA,2,4,4,0,1,1
132,250,4,MID,3,5,3,2,NA,1,4,5,0,1,1
133,38,4,MID,4,4,2,2,NA,4,3,2,0,1,1
134,58,5,MID,4,2,6,2,1905,1,1,2,0,1,1
135,357,2,MID,4,2,2,2,NA,2,4,2,0,1,1
136,16,2,MID LOW,3,4,2,2,NA,1,4,4,0,1,1
137,212,4,MID,3,3,2,2,NA,1,3,5,0,1,1
138,0,0,LOW,4,4,2,2,NA,1,4,6,0,0,1
139,0,0,LOW,3,0,2,2,NA,7,4,6,0,0,0
140,160,2,LOW,4,2,2,2,NA,5,4,3,0,1,1
141,140,1,MID,4,3,2,2,1865,1,4,5,0,1,0
142,117,2,MID LEV,2,4,3,2,NA,2,3,6,0,1,0
143,88,3,MID,3,4,4,2,1865,4,4,3,0,1,1
144,337,1,LOW,4,2,6,2,1865,5,4,4,0,1,1
145,122,7,MID,4,2,5,2,1865,2,3,2,0,1,1
146,0,0,LOW,3,0,3,2,NA,7,4,6,0,0,0
147,0,0,LOW,1,0,1,2,1870,2,3,6,0,0,0
148,254,1,LOW,4,2,4,2,1865,2,4,6,0,0,0
149,65,2,LOW,4,2,3,2,1865,2,4,5,0,1,1
150,16,1,MID LOW,4,2,3,2,1865,2,4,5,0,1,1
151,115,2,MID,3,2,3,2,1840,1,4,5,0,1,0
152,196,7,UPPER,3,1,3,2,1910,3,2,2,1,1,0
153,250,14,MID,2,4,4,2,1865,3,3,2,0,1,0
154,257,7,UPPER,2,2,4,2,1895,3,2,4,0,1,0
155,206,2,MID LOW,2,3,3,2,1895,2,1,3,0,1,1
156,0,0,LOW,1,0,2,2,1925,2,3,5,0,0,0
157,172,1,LOW,4,4,4,2,1865,2,3,6,0,0,0
158,214,9,UPPER,2,3,4,2,1895,3,3,2,0,1,0
159,317,5,MID LOW,4,4,6,2,1895,3,3,3,0,1,0
160,0,0,LOW,2,4,3,2,NA,7,4,6,0,0,0
161,80,2,MID LOW,2,0,3,2,1880,3,1,2,0,1,1
162,0,0,LOW,3,0,3,2,NA,7,4,6,0,0,0
163,0,0,LOW,2,0,3,2,NA,7,4,6,0,0,0
164,110,2,LOW,2,3,1,2,NA,2,4,4,0,0,0
165,0,0,LOW,4,3,3,2,NA,2,4,2,0,1,1
166,134,4,MID LOW,1,6,3,1,NA,8,3,3,0,1,0
167,0,0,LOW,3,2,3,2,NA,4,4,2,0,1,1
168,0,0,LOW,2,4,3,2,NA,1,4,4,0,1,1
169,240,5,MID,3,3,2,2,1900,1,3,1,0,1,0
170,218,5,MID,1,4,2,2,1920,1,3,2,0,1,1
171,384,5,MID,2,2,2,2,1860,1,3,3,0,1,0
172,0,0,MID LEV,2,2,2,2,1900,4,3,2,0,1,0
173,204,5,MID,3,4,3,2,1900,1,3,4,0,1,0
174,210,6,MID LOW,2,2,0,2,1885,4,2,3,0,1,0
175,248,8,MID LOW,2,4,6,2,1885,1,3,2,0,1,1
176,176,3,MID LOW,1,4,2,2,1895,2,3,4,0,1,1
177,0,0,MID LOW,2,2,2,2,1900,2,3,5,0,1,1
178,216,2,MID LOW,2,3,2,2,1900,2,3,4,0,1,1
179,246,2,MID LEV,1,0,6,2,1910,8,1,2,0,1,1
180,334,6,MID LOW,1,3,3,2,NA,2,4,3,0,1,1
181,0,0,LOW,2,5,2,2,NA,2,4,5,0,1,1
182,252,3,MID LOW,4,3,0,2,1915,4,3,4,1,1,0
183,210,2,MID LOW,2,4,0,2,1895,1,3,5,0,1,0
184,322,3,MID LOW,1,2,0,2,1905,1,1,2,0,0,0
185,222,2,LOW,2,2,0,2,1925,4,3,5,0,0,0
186,238,4,MID LOW,1,4,0,2,1925,2,1,4,0,1,1
187,232,4,MID LEV,1,0,0,2,1940,6,1,2,0,0,0
188,305,2,MID,2,4,0,2,1915,6,1,3,0,1,0
189,120,2,UPPER,2,2,0,2,1895,1,2,2,0,1,1
190,84,2,MID,2,2,5,2,1920,3,1,3,0,1,1
191,215,2,MID LEV,2,2,0,2,1895,1,2,2,0,0,0
192,180,3,MID,1,2,0,2,1875,1,2,3,0,1,0
193,150,8,MID,1,4,0,1,1875,1,2,2,0,1,0
194,112,6,MID,1,4,0,1,1875,1,3,2,0,1,0
195,140,4,MID,2,3,0,1,1875,1,2,2,0,1,0
196,176,7,MID,1,3,0,1,1860,4,3,2,1,1,1
197,204,2,MID LOW,1,3,0,2,1860,4,3,3,0,1,1
198,266,10,MID,2,3,0,2,1920,4,3,3,0,0,1
199,0,0,UPPER,1,2,0,2,1905,3,3,2,0,1,1
200,224,5,UPPER,1,2,0,2,1905,3,3,2,0,1,0
201,210,5,UPPER,1,3,0,2,1905,3,3,2,0,1,0
202,224,8,MID,1,3,0,2,1905,3,3,2,0,1,0
203,25,4,UPPER,3,2,0,2,1905,14,3,2,0,1,1
204,3,3,UPPER,2,2,0,2,1905,14,3,2,0,1,1
205,61,4,MID,2,3,0,2,1900,3,3,2,0,1,0
206,60,2,MID,4,4,0,2,1895,1,1,2,0,1,0
207,355,1,LOW,2,2,2,2,1850,1,2,4,0,1,1
208,33,4,UPPER,2,2,2,2,1909,1,2,2,0,1,1
209,327,13,MID,2,2,0,2,1890,1,3,2,0,1,1
210,5,4,UPPER,3,2,0,2,1870,1,1,2,0,1,1
211,257,2,UPPER,3,2,0,2,1850,3,1,2,0,1,1
212,333,2,MID,3,2,0,2,1870,2,1,2,0,1,1
213,40,2,UPPER,1,2,2,2,1905,3,3,2,0,0,0
214,0,0,MID LEV,1,2,2,2,1895,4,2,2,1,0,0
215,290,2,MID LEV,1,2,6,2,1895,4,2,2,0,0,0
216,0,0,MID LEV,1,2,2,2,1895,4,2,2,1,0,0
217,0,0,MID LEV,1,3,2,2,1895,4,2,2,1,0,0
218,218,2,MID LEV,1,2,2,2,1895,1,2,2,1,0,0
219,0,0,MID LEV,1,2,3,2,1895,1,2,2,0,0,0
220,230,2,MID LOW,1,2,1,2,1895,1,1,2,1,0,0
221,190,4,MID,1,0,0,2,1915,1,1,2,1,0,0
222,258,6,MID,1,0,0,2,1915,1,1,2,0,0,0
223,202,6,MID,1,2,4,2,1895,1,2,2,1,0,0
224,0,0,MID LEV,1,2,0,2,1885,1,2,2,0,0,0
225,288,2,MID,1,2,3,2,1885,1,2,2,1,0,0
226,350,1,MID LOW,1,2,1,2,1885,1,3,2,1,0,0
227,300,2,MID LOW,1,2,1,2,1885,1,3,2,1,0,0
228,228,5,MID,4,2,6,2,1885,1,2,2,0,0,0
229,0,0,MID LEV,1,2,1,2,1885,1,2,2,1,0,0
230,285,2,MID,3,0,1,2,1860,1,2,2,1,1,0
231,0,0,MID LEV,1,2,6,2,1915,1,1,2,1,0,0
232,225,1,MID LEV,3,0,3,2,1920,3,1,2,0,1,0
233,260,3,MID,2,3,1,2,1860,1,2,2,1,1,0
234,228,6,MID,1,3,1,2,1860,1,2,2,1,1,0
235,0,0,MID LEV,3,2,1,2,1860,1,2,2,1,1,0
236,250,2,MID,4,0,3,2,1905,3,1,2,1,1,0
237,300,6,MID,4,2,1,2,1870,1,2,2,0,1,0
238,277,4,MID,2,3,1,2,1860,4,3,2,0,1,0
239,327,11,MID,4,2,5,2,1870,1,2,1,0,1,1
240,272,8,MID,2,4,1,1,1870,1,3,2,0,1,0
241,326,6,MID,1,4,0,2,1925,1,2,2,1,0,0
242,16,6,MID,1,3,1,2,1925,1,1,2,1,0,0
243,328,4,MID,1,2,1,2,1925,1,2,2,1,0,0
244,318,2,MID LEV,1,4,1,1,1925,1,3,2,0,0,0
245,42,2,UPPER,1,2,2,2,1905,3,3,2,1,0,0
246,0,0,UPPER,1,2,1,2,1905,3,2,2,1,0,0
247,0,0,UPPER,1,2,2,2,1905,3,3,2,1,0,0
248,30,2,UPPER,1,3,2,2,1905,3,2,2,1,0,0
249,290,2,UPPER,1,2,3,2,1905,3,2,2,1,0,0
250,292,3,UPPER,1,2,3,2,1905,3,3,2,1,0,0
251,0,0,UPPER,4,0,4,2,1905,3,2,2,0,0,0
252,44,1,UPPER,1,4,3,2,1905,3,3,2,1,0,0
253,0,0,UPPER,1,2,0,2,1905,5,3,2,1,0,0
254,90,2,UPPER,1,2,0,2,1905,3,3,2,1,0,0
255,267,6,MID,3,3,4,2,1900,14,3,2,0,0,0
256,394,4,UPPER,3,2,6,2,1900,1,3,2,0,0,0
257,46,2,MID,3,2,0,2,NA,2,3,4,1,0,0
258,40,5,MID,3,3,0,2,1850,4,3,2,1,0,0
259,27,5,MID,3,2,0,2,1850,1,2,2,1,0,0
260,88,1,MID LEV,2,2,0,2,1850,4,3,4,0,0,0
261,70,2,MID,3,2,1,2,1850,1,2,2,1,0,0
262,33,2,MID,3,4,1,2,1850,2,3,2,0,0,0
263,85,1,MID,2,4,1,2,1850,4,2,2,1,0,0
264,340,2,MID,3,2,0,2,1870,1,2,2,0,0,0
265,346,14,MID,4,2,0,2,1870,1,3,2,1,0,0
266,350,3,MID,4,2,1,2,1870,1,3,2,0,0,0
267,175,4,UPPER,4,3,1,2,1850,1,2,2,1,0,0
268,280,11,MID,3,4,0,2,1850,1,3,2,0,0,0
269,299,9,MID,3,3,0,2,1850,4,3,2,0,0,0
