tpye,number,code,spname
plant,1,ACPA,Actaea pachypoda  
plant,2,ACPE,Acer pensylvanicum  
plant,3,ACRU,Acer rubrum  
plant,4,ACSA,Acer saccharum  
plant,5,ACSP,Acer spicatum  
plant,6,AG,Agrostis sp.  
plant,7,AL,Alnus sp.  
plant,8,AM,Amelanchier sp.  
plant,9,AMBR,Amphicarpa bracteata  
plant,10,ANQU,Anemone quinquefolia  
plant,11,APAM,Apios americana  
plant,12,APAN,Apocynum androsaemifolium  
plant,13,AR,Aronia sp.  
plant,14,ARNU,Aralia nudicaulis  
plant,15,ARSP,Aralia spinosa  
plant,16,ARTR,Arisaema triphyllum  
plant,17,AS,Aster sp.  
plant,18,ASAC,Aster acuminatus  
plant,19,ASC,Asclepias sp.  
plant,20,ASDI,Aster divaricatus  
plant,21,ASEX,Asclepias exaltata  
plant,22,ASLA,Aster lateriflorus  
plant,23,ASMA,Aster macrophyllous  
plant,24,ATFE,Athyrium felix-femina  
plant,25,ATTH,Athyrium thelypteroides  
plant,26,BEAL,Betula alleghaniensis  
plant,27,BELE,Betula lenta  
plant,28,BEPA,Betula papyrifera  
plant,29,BEPO,Betula populifolia  
plant,30,BETH,Berberis thunbergii  
plant,31,BI,Bidens sp.  
plant,32,BOMU,Botrychium multifidum  
plant,33,BRER,Brachyelytrum erectum  
plant,34,CA,Carex sp.  
plant,35,CABR,Carex brunescens  
plant,36,CACA,Carex canescens  
plant,37,CACN,Calamagrostis canadensis  
plant,38,CACR,Carex crinita/gynandra  
plant,39,CADB,Carex debilis  
plant,40,CADE,Castanea dentata  
plant,41,CADI,Carex disperma  
plant,42,CAFO,Carex folliculata  
plant,43,CAGR,Carex gracillima  
plant,44,CAIN,Carex intumescens  
plant,45,CALA,Carex laxiflorae sp. 
plant,46,CALP,Carex lupalina  
plant,47,CALU,Carex lurida  
plant,48,CAOV,Carex ovales sp. 
plant,49,CAPA,Calla palustris  
plant,50,CAPE,Carex pensylvanica  
plant,51,CAST,Carex stellulatae sp. (interior/echinata)
plant,52,CASTR,Carex stricta   
plant,53,CASW,Carex swanii  
plant,54,CATR,Carex trisperma  
plant,55,CAVI,Carex virescens  
plant,56,CE,Celastrus sp.  
plant,57,CHGL,Chelone glabra  
plant,58,CHUM,Chimaphila umbellata  
plant,59,CIQU,Circaea quadrisulcata  
plant,60,CLAL,Clethra alnifolia  
plant,61,CLBO,Clintonia borealis  
plant,62,CO,Composite sp.  
plant,63,COAL,Cornus alternifolia  
plant,64,COCA,Cornus canadensis  
plant,65,COCO,Corylus cornuta  
plant,66,COGR,Coptis groenlandica  
plant,67,COMA,Corallorhiza maculata  
plant,68,COPE,Comptonia peregrina  
plant,69,CORU,Cornus rugosa  
plant,70,COST,Cornus stolonifera  
plant,71,CR,Crataegus sp.  
plant,72,CYAC,Cypripedium acaule  
plant,73,DARE,Dalibarda repens  
plant,74,DASP,Danthonia spicata  
plant,75,DE,Desmodium sp.  
plant,76,DEPU,Dennstaedtia punctilobula  
plant,77,DILO,Diervilla lonicera  
plant,78,DRCR,Dryopteris cristata  
plant,79,DRMA,Dryopteris marginalis  
plant,80,DRSP,Dryopteris spinulosa  
plant,81,DRTH,Dryopteris thelypteris  
plant,82,EPHE,Epipactis helleborine  
plant,83,EPRE,Epigaea repens  
plant,84,EPVI,Epifagus virginiana  
plant,85,EQ,Equisetum sp.  
plant,86,EU,Eupatorium sp.  
plant,87,EUAL,Euonymous alatus  
plant,88,EURU,Eupatorium rugosa  
plant,89,FAGR,Fagus grandifolia  
plant,90,FR,Fragaria sp.  
plant,91,FRAM,Fraxinus americana  
plant,92,FRNI,Fraxinus nigra  
plant,93,GA,Galium sp.  
plant,94,GABA,Gaylussacia baccata  
plant,95,GAPR,Gaultheria procumbens  
plant,96,GERO,Geranium robertianum  
plant,97,GLST,Glyceria striata  
plant,98,GOPU,Goodyera pubescens  
plant,99,GOTE,Goodyera tesselata  
plant,100,GR,Grass sp.  
plant,101,HAFI,Habenaria fimbriata  
plant,102,HALA,Habenaria lacera  
plant,103,HAVI,Hamamelis virginiana  
plant,104,HIPA,Hieracium paniculatum  
plant,105,HYAM,Hydrocotyl americana  
plant,106,HYCA,Hypericum canadense  
plant,107,HYMU,Hypericum mutilum  
plant,108,ILVE,Ilex verticillata  
plant,109,IMCA,Impatiens capensis  
plant,110,IR,Iris sp.  
plant,111,JUCO,Juniperus communis  
plant,112,JUEF,Juncus effusus  
plant,113,JUTE,Juncus tenuis  
plant,114,KAAN,Kalmia angustifolia  
plant,115,KALA,Kalmia latifolia  
plant,116,LA,Larix sp.  
plant,117,LEOR,Leersia oryzoides  
plant,118,LIBE,Lindera benzoin  
plant,119,LIPH,Lilium philadelphicum  
plant,120,LOCA,Lonicera canadensis  
plant,121,LOES,Lonicera escape sp. 
plant,122,LUMU,Luzula multiflora  
plant,123,LYAN,Lycopodium annotinum  
plant,124,LYCL,Lycopodium clavatum  
plant,125,LYCO,Lycopodium complanatum  
plant,126,LYLI,Lyonia ligustrina  
plant,127,LYLU,Lycopodium lucidulum  
plant,128,LYOB,Lycopodium obscurum  
plant,129,LYQU,Lysimachia quadrifolia  
plant,130,LYTE,Lysimachia terrestris  
plant,131,LYUN,Lycopus uniflora  
plant,132,MACA,Maianthemum canadense  
plant,133,MELI,Melampyrum lineare  
plant,134,MEVI,Medeola virginiana  
plant,135,MIRE,Mitchella repens  
plant,136,MOHY,Monotropa hypopithys  
plant,137,MOUN,Monotropa uniflora  
plant,138,MU,cf Muhlenbergia sp. 
plant,139,NEMU,Nemopanthus mucronata  
plant,140,NYSY,Nyssa sylvatica  
plant,141,ONSE,Onoclea sensibilis  
plant,142,ORAS,Oryzopsis asperifolia  
plant,143,OSCI,Osmunda cinnamomea  
plant,144,OSCL,Osmunda claytoniana  
plant,145,OSRE,Osmunda regalis  
plant,146,OSVI,Ostrya virginiana  
plant,147,OXEU,Oxalis europea  
plant,148,OXMO,Oxalis montana  
plant,149,PA,Panicum sp.  
plant,150,PABO,Panicum boreale  
plant,151,PAQU,Parthenocissus quinquefolia  
plant,152,PATR,Panax trifolia  
plant,153,PI,Picea sp.  
plant,154,PIPU,Pilea pumila  
plant,155,PIRE,Pinus resinosa  
plant,156,PIRU,Picea rubens  
plant,157,PIST,Pinus strobus  
plant,158,PO,Polygonum sp.  
plant,159,POA,Poa sp.  
plant,160,POAC,Polystichum acrosticoides  
plant,161,POCI,Polygonum cilinode  
plant,162,POGR,Populus grandidentata  
plant,163,POPU,Polygonatum pubescens  
plant,164,POSA,Polygonum sagittatum  
plant,165,POSI,Potentilla simplex  
plant,166,POTR,Populus tremuloides  
plant,167,POVU,Polypodium vulgare  
plant,168,PR,Prenanthes sp.  
plant,169,PRPE,Prunus pensylvanica  
plant,170,PRSE,Prunus serotina  
plant,171,PRVI,Prunus virginiana  
plant,172,PTAQ,Pteridium aquilinum  
plant,173,PY,Pyrola sp.  
plant,174,QUAL,Quercus alba  
plant,175,QURU,Quercus rubra  
plant,176,RH,Rhododendron sp.  
plant,177,RHCA,Rhamnus cathartica  
plant,178,RHCO,Rhus copallina  
plant,179,RHRA,Rhus radicans  
plant,180,RHTY,Rhus typhina  
plant,181,RHVI,Rhododendron viscosum  
plant,182,RU1,Rubus sp. 1 
plant,183,RUAL,Rubus allegeniensis  
plant,184,RUID,Rubus idaeus  
plant,185,RUPU,Rubus pubescens  
plant,186,SAPU,Sambucus pubens  
plant,187,SCLA,Scutellaria lateriflora  
plant,188,SEAU,Senecio aureus  
plant,189,SM,Smilax sp.  
plant,190,SMRA,Smilacina racemosa  
plant,191,SO,Solidago sp.  
plant,192,SOAM,Sorbus americana  
plant,193,SODU,Solanum dulcamara  
plant,194,SORU,Solidago rugosa  
plant,195,SPLA,Spiraea latifolia  
plant,196,SYFO,Symplocarpus foetidus  
plant,197,TACA,Taxus canadensis  
plant,198,THNO,Thelypteris noveboracensis  
plant,199,THOC,Thuja occidentalis  
plant,200,THPH,Thelypteris phegopteris  
plant,201,THPO,Thalictrum polygamum  
plant,202,THSI,Thelypteris simulata  
plant,203,TIAM,Tilia americana  
plant,204,TOVE,Toxicodendron vernix  
plant,205,TRBO,Trientalis borealis  
plant,206,TRUN,Trillium undulatum  
plant,207,TSCA,Tsuga canadensis  
plant,208,TYLA,Typha latifolia  
plant,209,UL,Ulmus sp.  
plant,210,UN,Unknown sp.  
plant,211,UVSE,Uvularia sessilifolia  
plant,212,VAAN,Vaccinium angustifolium  
plant,213,VACO,Vaccinium corymbosum  
plant,214,VAVA,Vaccinium vacillans  
plant,215,VI,Vitis sp.  
plant,216,VIAC,Viburnum acerifolium  
plant,217,VIAL,Viburnum alnifolium  
plant,218,VICA,Viburnum cassinoides  
plant,219,VIDE,Viburnum dentatum (= V. recognitum)
plant,220,VIO,Viola sp.  
plant,221,ACPE,Acer pensylvanicum  
plant,222,ACRU,Acer rubrum  
plant,223,ACSA,Acer saccharum  
plant,224,ACSP,Acer spicatum  
plant,225,AM,Amelanchier sp.  
plant,226,ARSP,Aralia spinosa  
plant,227,BEAL,Betula alleghaniensis  
plant,228,BELE,Betula lenta  
plant,229,BEPA,Betula papyrifera  
plant,230,BEPO,Betula populifolia  
plant,231,CADE,Castanea dentata  
plant,232,FAGR,Fagus grandifolia  
plant,233,FRAM,Fraxinus americana  
plant,234,JUVI,Juniperus virginiana  
plant,235,MA,Malus sp.  
plant,236,NYSY,Nyssa sylvatica  
plant,237,OSVI,Ostrya virginiana  
plant,238,PH,Phellodendron sp.  
plant,239,PI,Picea sp.  
plant,240,PIRE,Pinus resinosa  
plant,241,PIRU,Picea rubens  
plant,242,PIST,Pinus strobus  
plant,243,PISY,Pinus sylvestris  
plant,244,POGR,Populus grandidentata  
plant,245,POTR,Populus tremuloides  
plant,246,PRPE,Prunus pensylvanica  
plant,247,PRSE,Prunus serotina  
plant,248,QUAL,Quercus alba  
plant,249,QURU,Quercus rubra  
plant,250,SOAM,Sorbus americana  
plant,251,THOC,Thuja occidentalis  
plant,252,TIAM,Tilia americana  
plant,253,TSCA,Tsuga canadensis  
plant,254,UL,Ulmus sp.  
moss,1,ANAT,Anomodon attenuatus
moss,2,ANRU,Andreaea rupestris
moss,3,ANSP,Anacamptodon splachnoides
moss,4,ATAN,Atrichum angustatum
moss,5,ATCR,Atrichum crispum
moss,6,ATUN,Atrichum undulatum
moss,7,AUPA,Aulacomnium palustre
moss,8,BATR,Bazzania trilobata
moss,9,BRCU,Brachythecium curtum
moss,10,BRNO,Bryhnia novae-angeliae
moss,11,BROX,Brachythecium oxycladon and other large plicate Brachy
moss,12,BRPS,Bryum pseudotriquetrum
moss,13,BRRC,Bryoerthrophyllum recurvirostre
moss,14,BRRE,Brotherella recurvans
moss,15,BRRF,Brachythecium reflexum
moss,16,BRRU,Brachythecium rutabulum
moss,17,BRSA,Brachythecium cf. salebrosum
moss,18,BRTU,Brachythecium turgidum
moss,19,CAFI,Calypogeia fissa
moss,20,CAHA,Callicladium haldanianum
moss,21,CASA,Campylostelium saxicola
moss,22,CESP,Cephaloziella sp.
moss,23,DIAP,Diplophyllum apiculatum
moss,24,DIFL,Dicranum flagellare
moss,25,DIFO,Diphyscium foliosum
moss,26,DIFU,Dicranum fulvum
moss,27,DIHE,Dicranella heteromalla
moss,28,DIMO,Dicranum montanum
moss,29,DIPO,Dicranum polysetum
moss,30,DISC,Dicranum scoparium
moss,31,DIVI,Dicranum viride
moss,32,ENSE,Entodon seductrix
moss,33,FRSP,Frullania sp.
moss,34,GRAP,Grimmia apocarpa
moss,35,HECI,Hedwigia ciliata
moss,36,HEST,Herzogiella striatella
moss,37,HYIM,Hypnum imponens
moss,38,HYPA,Hypnum pallescens
moss,39,JAAU,Jamesoniella autumnalis
moss,40,JUPU,Jungermannia cf. pumila
moss,41,LEGL,Leucobryum glaucum
moss,42,LEGR,Leskea gracilenens
moss,43,LERE,Lepidozia reptans
moss,44,LOSP,Lophocolea sp.
moss,45,MESP,Metzguria sp.
moss,46,MNAF,Mnium affine; and possibly M. cuspidata
moss,47,MNHO,Mnium hornum
moss,48,MNPU,Mnium punctatum; M. cinclidiodes
moss,49,NOCU,Nowellia curvifolia
moss,50,ODDE,Odontoschisma denudatum; etc.
moss,51,ORRU,Orthotrichum rupestre
moss,52,PALO,Paraleucobryum longifolium
moss,53,PALY,Pallavicinia lyellii
moss,54,PLCA,Plagiothecium cavifolium
moss,55,PLLA,Plagiothecium laetum
moss,56,PLRE,Platygyrium repens
moss,57,PLSC,Pleurozium schreberi
moss,58,PLSU,Pleurodium subulatum
moss,59,POCO,Polytrichum commune
moss,60,POJU,Polytrichum juniperinum
moss,61,PONU,Pohlia nutans
moss,62,POPL,Porella platyphylla
moss,63,PSTE,Pseudoleskeella tectorum
moss,64,PTCR,Ptilium crista-castrensis
moss,65,PTFI,Pterigynandrum filiforme
moss,66,PTSP,Ptilidium sp. (P. ciliare; P. pulcherrimum)
moss,67,RACO,Radula complanata
moss,68,SCNE,Scapania nemorea
moss,69,SPCA,Sphagnum capillifolium
moss,70,SPGI,Sphagnum cf. girgensonii
moss,71,SPSP,Sphagnum section Sphagnum
moss,72,SPTE,Sphagnum teres
moss,73,STSE,Steerecleus serrulatus
moss,74,SUBS,Substrate
moss,75,TEPE,Tetraphis pellucida
moss,76,THDE,Thuidium delicatulum
moss,77,THHI,Thelia hirtella
moss,78,ULCO,Ulota coarctata
moss,79,ULCR,Ulota crispa
