Time, Ecoregion, Species, TempMult, MinJanTempMult, SoilMoistureMult, OtherAdjustMult, ProbEst
1, eco311, abiebals,0.40,1.00,1.00,1.00,0.40
1, eco311, acerrubr,0.57,1.00,1.00,1.00,0.57
1, eco311, acersacc,1.00,1.00,1.00,1.00,1.00
1, eco311, betualle,0.71,1.00,1.00,1.00,0.71
1, eco311, betulent,1.00,0.00,1.00,1.00,0.00
1, eco311, betupapy,0.00,1.00,1.00,1.00,0.00
1, eco311, betupopu,0.94,1.00,1.00,1.00,0.94
1, eco311, caryglab,0.20,1.00,1.00,1.00,0.20
1, eco311, fagugran,0.65,1.00,1.00,1.00,0.65
1, eco311, fraxamer,0.56,1.00,1.00,1.00,0.56
1, eco311, fraxnigr,0.25,1.00,1.00,1.00,0.25
1, eco311, larilari,0.65,1.00,1.00,1.00,0.65
1, eco311, ostrvirg,0.66,1.00,1.00,1.00,0.66
1, eco311, piceglau,0.00,1.00,1.00,1.00,0.00
1, eco311, picemari,0.00,1.00,1.00,1.00,0.00
1, eco311, picerube,0.90,1.00,1.00,1.00,0.90
1, eco311, pinuresi,0.00,1.00,1.00,1.00,0.00
1, eco311, pinurigi,0.65,1.00,1.00,1.00,0.65
1, eco311, pinustro,1.00,1.00,1.00,1.00,1.00
1, eco311, popubals,0.54,1.00,1.00,1.00,0.54
1, eco311, popugran,1.00,1.00,1.00,1.00,1.00
1, eco311, poputrem,0.55,1.00,1.00,1.00,0.55
1, eco311, prunsero,0.65,1.00,1.00,1.00,0.65
1, eco311, queralba,0.70,1.00,1.00,1.00,0.70
1, eco311, quercocc,0.21,1.00,1.00,1.00,0.21
1, eco311, querprin,0.43,1.00,1.00,1.00,0.43
1, eco311, querrubr,0.86,1.00,1.00,1.00,0.86
1, eco311, quervelu,0.61,1.00,1.00,1.00,0.61
1, eco311, thujocci,0.00,1.00,1.00,1.00,0.00
1, eco311, tiliamer,0.99,1.00,1.00,1.00,0.99
1, eco311, tsugcana,0.93,1.00,1.00,1.00,0.93
1, eco311, ulmuamer,0.56,1.00,1.00,1.00,0.56
2, eco311, abiebals,0.85,1.00,1.00,1.00,0.85
2, eco311, acerrubr,0.38,1.00,1.00,1.00,0.38
2, eco311, acersacc,0.87,1.00,1.00,1.00,0.87
2, eco311, betualle,1.00,1.00,1.00,1.00,1.00
2, eco311, betulent,0.76,0.00,1.00,1.00,0.00
2, eco311, betupapy,0.47,1.00,1.00,1.00,0.47
2, eco311, betupopu,0.98,1.00,1.00,1.00,0.98
2, eco311, caryglab,0.00,1.00,1.00,1.00,0.00
2, eco311, fagugran,0.42,1.00,1.00,1.00,0.42
2, eco311, fraxamer,0.34,1.00,1.00,1.00,0.34
2, eco311, fraxnigr,0.90,1.00,1.00,1.00,0.90
2, eco311, larilari,0.91,1.00,1.00,1.00,0.91
2, eco311, ostrvirg,0.45,1.00,1.00,1.00,0.45
2, eco311, piceglau,0.20,1.00,1.00,1.00,0.20
2, eco311, picemari,0.19,1.00,1.00,1.00,0.19
2, eco311, picerube,1.00,1.00,1.00,1.00,1.00
2, eco311, pinuresi,0.69,1.00,1.00,1.00,0.69
2, eco311, pinurigi,0.00,1.00,1.00,1.00,0.00
2, eco311, pinustro,0.91,1.00,1.00,1.00,0.91
2, eco311, popubals,0.90,1.00,1.00,1.00,0.90
2, eco311, popugran,0.91,1.00,1.00,1.00,0.91
2, eco311, poputrem,0.93,1.00,1.00,1.00,0.93
2, eco311, prunsero,0.45,1.00,1.00,1.00,0.45
2, eco311, queralba,0.49,1.00,1.00,1.00,0.49
2, eco311, quercocc,0.00,1.00,1.00,1.00,0.00
2, eco311, querprin,0.00,1.00,1.00,1.00,0.00
2, eco311, querrubr,0.66,1.00,1.00,1.00,0.66
2, eco311, quervelu,0.33,1.00,1.00,1.00,0.33
2, eco311, thujocci,0.79,1.00,1.00,1.00,0.79
2, eco311, tiliamer,0.74,1.00,1.00,1.00,0.74
2, eco311, tsugcana,0.72,1.00,1.00,1.00,0.72
2, eco311, ulmuamer,0.39,1.00,1.00,1.00,0.39
3, eco311, abiebals,0.55,1.00,1.00,1.00,0.55
3, eco311, acerrubr,0.52,1.00,1.00,1.00,0.52
3, eco311, acersacc,0.99,1.00,1.00,1.00,0.99
3, eco311, betualle,0.84,1.00,1.00,1.00,0.84
3, eco311, betulent,0.97,0.00,1.00,1.00,0.00
3, eco311, betupapy,0.00,1.00,1.00,1.00,0.00
3, eco311, betupopu,0.98,1.00,1.00,1.00,0.98
3, eco311, caryglab,0.13,1.00,1.00,1.00,0.13
3, eco311, fagugran,0.59,1.00,1.00,1.00,0.59
3, eco311, fraxamer,0.51,1.00,1.00,1.00,0.51
3, eco311, fraxnigr,0.48,1.00,1.00,1.00,0.48
3, eco311, larilari,0.73,1.00,1.00,1.00,0.73
3, eco311, ostrvirg,0.61,1.00,1.00,1.00,0.61
3, eco311, piceglau,0.00,1.00,1.00,1.00,0.00
3, eco311, picemari,0.00,1.00,1.00,1.00,0.00
3, eco311, picerube,0.95,1.00,1.00,1.00,0.95
3, eco311, pinuresi,0.00,1.00,1.00,1.00,0.00
3, eco311, pinurigi,0.43,1.00,1.00,1.00,0.43
3, eco311, pinustro,1.00,1.00,1.00,1.00,1.00
3, eco311, popubals,0.67,1.00,1.00,1.00,0.67
3, eco311, popugran,1.00,1.00,1.00,1.00,1.00
3, eco311, poputrem,0.69,1.00,1.00,1.00,0.69
3, eco311, prunsero,0.60,1.00,1.00,1.00,0.60
3, eco311, queralba,0.65,1.00,1.00,1.00,0.65
3, eco311, quercocc,0.07,1.00,1.00,1.00,0.07
3, eco311, querprin,0.29,1.00,1.00,1.00,0.29
3, eco311, querrubr,0.81,1.00,1.00,1.00,0.81
3, eco311, quervelu,0.55,1.00,1.00,1.00,0.55
3, eco311, thujocci,0.18,1.00,1.00,1.00,0.18
3, eco311, tiliamer,0.95,1.00,1.00,1.00,0.95
3, eco311, tsugcana,0.89,1.00,1.00,1.00,0.89
3, eco311, ulmuamer,0.52,1.00,1.00,1.00,0.52
4, eco311, abiebals,0.60,1.00,1.00,1.00,0.60
4, eco311, acerrubr,0.51,1.00,1.00,1.00,0.51
4, eco311, acersacc,0.99,1.00,1.00,1.00,0.99
4, eco311, betualle,0.87,1.00,1.00,1.00,0.87
4, eco311, betulent,0.95,0.00,1.00,1.00,0.00
4, eco311, betupapy,0.00,1.00,1.00,1.00,0.00
4, eco311, betupopu,0.99,1.00,1.00,1.00,0.99
4, eco311, caryglab,0.11,0.00,1.00,1.00,0.00
4, eco311, fagugran,0.57,1.00,1.00,1.00,0.57
4, eco311, fraxamer,0.49,1.00,1.00,1.00,0.49
4, eco311, fraxnigr,0.55,1.00,1.00,1.00,0.55
4, eco311, larilari,0.76,1.00,1.00,1.00,0.76
4, eco311, ostrvirg,0.59,1.00,1.00,1.00,0.59
4, eco311, piceglau,0.00,1.00,1.00,1.00,0.00
4, eco311, picemari,0.00,1.00,1.00,1.00,0.00
4, eco311, picerube,0.96,1.00,1.00,1.00,0.96
4, eco311, pinuresi,0.00,1.00,1.00,1.00,0.00
4, eco311, pinurigi,0.35,0.00,1.00,1.00,0.00
4, eco311, pinustro,0.99,1.00,1.00,1.00,0.99
4, eco311, popubals,0.70,1.00,1.00,1.00,0.70
4, eco311, popugran,0.99,1.00,1.00,1.00,0.99
4, eco311, poputrem,0.72,1.00,1.00,1.00,0.72
4, eco311, prunsero,0.59,1.00,1.00,1.00,0.59
4, eco311, queralba,0.63,1.00,1.00,1.00,0.63
4, eco311, quercocc,0.03,0.00,1.00,1.00,0.00
4, eco311, querprin,0.24,0.00,1.00,1.00,0.00
4, eco311, querrubr,0.80,1.00,1.00,1.00,0.80
4, eco311, quervelu,0.52,1.00,1.00,1.00,0.52
4, eco311, thujocci,0.27,1.00,1.00,1.00,0.27
4, eco311, tiliamer,0.94,1.00,1.00,1.00,0.94
4, eco311, tsugcana,0.87,1.00,1.00,1.00,0.87
4, eco311, ulmuamer,0.50,1.00,1.00,1.00,0.50
5, eco311, abiebals,0.88,1.00,0.24,1.00,0.24
5, eco311, acerrubr,0.36,1.00,0.57,1.00,0.36
5, eco311, acersacc,0.85,1.00,0.00,1.00,0.00
5, eco311, betualle,1.00,1.00,0.37,1.00,0.37
5, eco311, betulent,0.72,0.00,0.35,1.00,0.00
5, eco311, betupapy,0.53,1.00,0.67,1.00,0.53
5, eco311, betupopu,0.97,1.00,0.00,1.00,0.00
5, eco311, caryglab,0.00,1.00,0.47,1.00,0.00
5, eco311, fagugran,0.39,1.00,0.47,1.00,0.39
5, eco311, fraxamer,0.31,1.00,0.67,1.00,0.31
5, eco311, fraxnigr,0.93,1.00,0.00,1.00,0.00
5, eco311, larilari,0.93,1.00,0.65,1.00,0.65
5, eco311, ostrvirg,0.42,1.00,0.67,1.00,0.42
5, eco311, piceglau,0.27,1.00,0.61,1.00,0.27
5, eco311, picemari,0.26,1.00,0.65,1.00,0.26
5, eco311, picerube,1.00,1.00,0.59,1.00,0.59
5, eco311, pinuresi,0.77,1.00,0.77,1.00,0.77
5, eco311, pinurigi,0.00,1.00,0.70,1.00,0.00
5, eco311, pinustro,0.89,1.00,0.76,1.00,0.76
5, eco311, popubals,0.92,1.00,0.65,1.00,0.65
5, eco311, popugran,0.89,1.00,0.69,1.00,0.69
5, eco311, poputrem,0.95,1.00,0.65,1.00,0.65
5, eco311, prunsero,0.43,1.00,0.69,1.00,0.43
5, eco311, queralba,0.47,1.00,0.75,1.00,0.47
5, eco311, quercocc,0.00,1.00,0.68,1.00,0.00
5, eco311, querprin,0.00,1.00,0.67,1.00,0.00
5, eco311, querrubr,0.64,1.00,0.48,1.00,0.48
5, eco311, quervelu,0.30,1.00,0.69,1.00,0.30
5, eco311, thujocci,0.85,1.00,0.71,1.00,0.71
5, eco311, tiliamer,0.70,1.00,0.47,1.00,0.47
5, eco311, tsugcana,0.69,1.00,0.37,1.00,0.37
5, eco311, ulmuamer,0.37,1.00,0.64,1.00,0.37
6, eco311, abiebals,0.67,1.00,0.83,1.00,0.67
6, eco311, acerrubr,0.48,1.00,0.88,1.00,0.48
6, eco311, acersacc,0.97,1.00,0.52,1.00,0.52
6, eco311, betualle,0.92,1.00,0.84,1.00,0.84
6, eco311, betulent,0.92,0.00,0.84,1.00,0.00
6, eco311, betupapy,0.09,1.00,0.90,1.00,0.09
6, eco311, betupopu,1.00,1.00,0.77,1.00,0.77
6, eco311, caryglab,0.07,1.00,0.86,1.00,0.07
6, eco311, fagugran,0.54,1.00,0.86,1.00,0.54
6, eco311, fraxamer,0.45,1.00,0.90,1.00,0.45
6, eco311, fraxnigr,0.66,1.00,0.00,1.00,0.00
6, eco311, larilari,0.80,1.00,0.90,1.00,0.80
6, eco311, ostrvirg,0.56,1.00,0.90,1.00,0.56
6, eco311, piceglau,0.00,1.00,0.89,1.00,0.00
6, eco311, picemari,0.00,1.00,0.90,1.00,0.00
6, eco311, picerube,0.98,1.00,0.88,1.00,0.88
6, eco311, pinuresi,0.15,1.00,0.93,1.00,0.15
6, eco311, pinurigi,0.19,1.00,0.91,1.00,0.19
6, eco311, pinustro,0.98,1.00,0.93,1.00,0.93
6, eco311, popubals,0.76,1.00,0.90,1.00,0.76
6, eco311, popugran,0.98,1.00,0.91,1.00,0.91
6, eco311, poputrem,0.79,1.00,0.90,1.00,0.79
6, eco311, prunsero,0.56,1.00,0.91,1.00,0.56
6, eco311, queralba,0.60,1.00,0.92,1.00,0.60
6, eco311, quercocc,0.00,1.00,0.90,1.00,0.00
6, eco311, querprin,0.16,1.00,0.90,1.00,0.16
6, eco311, querrubr,0.77,1.00,0.86,1.00,0.77
6, eco311, quervelu,0.48,1.00,0.91,1.00,0.48
6, eco311, thujocci,0.43,1.00,0.91,1.00,0.43
6, eco311, tiliamer,0.90,1.00,0.86,1.00,0.86
6, eco311, tsugcana,0.84,1.00,0.84,1.00,0.84
6, eco311, ulmuamer,0.48,1.00,0.90,1.00,0.48
7, eco311, abiebals,0.74,1.00,0.00,1.00,0.00
7, eco311, acerrubr,0.44,1.00,0.00,1.00,0.00
7, eco311, acersacc,0.94,1.00,0.00,1.00,0.00
7, eco311, betualle,0.96,1.00,0.00,1.00,0.00
7, eco311, betulent,0.87,0.00,0.00,1.00,0.00
7, eco311, betupapy,0.23,1.00,0.00,1.00,0.00
7, eco311, betupopu,1.00,1.00,0.00,1.00,0.00
7, eco311, caryglab,0.02,1.00,0.00,1.00,0.00
7, eco311, fagugran,0.50,1.00,0.00,1.00,0.00
7, eco311, fraxamer,0.42,1.00,0.00,1.00,0.00
7, eco311, fraxnigr,0.76,1.00,0.00,1.00,0.00
7, eco311, larilari,0.84,1.00,0.00,1.00,0.00
7, eco311, ostrvirg,0.52,1.00,0.00,1.00,0.00
7, eco311, piceglau,0.00,1.00,0.00,1.00,0.00
7, eco311, picemari,0.00,1.00,0.00,1.00,0.00
7, eco311, picerube,0.99,1.00,0.00,1.00,0.00
7, eco311, pinuresi,0.37,1.00,0.00,1.00,0.00
7, eco311, pinurigi,0.00,1.00,0.00,1.00,0.00
7, eco311, pinustro,0.96,1.00,0.00,1.00,0.00
7, eco311, popubals,0.82,1.00,0.00,1.00,0.00
7, eco311, popugran,0.96,1.00,0.00,1.00,0.00
7, eco311, poputrem,0.85,1.00,0.00,1.00,0.00
7, eco311, prunsero,0.52,1.00,0.00,1.00,0.00
7, eco311, queralba,0.57,1.00,0.00,1.00,0.00
7, eco311, quercocc,0.00,1.00,0.00,1.00,0.00
7, eco311, querprin,0.05,1.00,0.00,1.00,0.00
7, eco311, querrubr,0.73,1.00,0.00,1.00,0.00
7, eco311, quervelu,0.43,1.00,0.00,1.00,0.00
7, eco311, thujocci,0.58,1.00,0.00,1.00,0.00
7, eco311, tiliamer,0.86,1.00,0.00,1.00,0.00
7, eco311, tsugcana,0.80,1.00,0.00,1.00,0.00
7, eco311, ulmuamer,0.45,1.00,0.00,1.00,0.00
8, eco311, abiebals,0.47,1.00,0.00,1.00,0.00
8, eco311, acerrubr,0.55,1.00,0.06,1.00,0.06
8, eco311, acersacc,1.00,1.00,0.00,1.00,0.00
8, eco311, betualle,0.77,1.00,0.00,1.00,0.00
8, eco311, betulent,0.99,0.00,0.00,1.00,0.00
8, eco311, betupapy,0.00,1.00,0.43,1.00,0.00
8, eco311, betupopu,0.96,1.00,0.00,1.00,0.00
8, eco311, caryglab,0.17,1.00,0.00,1.00,0.00
8, eco311, fagugran,0.62,1.00,0.00,1.00,0.00
8, eco311, fraxamer,0.54,1.00,0.43,1.00,0.43
8, eco311, fraxnigr,0.36,1.00,0.00,1.00,0.00
8, eco311, larilari,0.69,1.00,0.38,1.00,0.38
8, eco311, ostrvirg,0.64,1.00,0.43,1.00,0.43
8, eco311, piceglau,0.00,1.00,0.27,1.00,0.00
8, eco311, picemari,0.00,1.00,0.39,1.00,0.00
8, eco311, picerube,0.93,1.00,0.18,1.00,0.18
8, eco311, pinuresi,0.00,1.00,0.64,1.00,0.00
8, eco311, pinurigi,0.56,1.00,0.50,1.00,0.50
8, eco311, pinustro,1.00,1.00,0.62,1.00,0.62
8, eco311, popubals,0.60,1.00,0.38,1.00,0.38
8, eco311, popugran,1.00,1.00,0.47,1.00,0.47
8, eco311, poputrem,0.61,1.00,0.38,1.00,0.38
8, eco311, prunsero,0.63,1.00,0.49,1.00,0.49
8, eco311, queralba,0.68,1.00,0.59,1.00,0.59
8, eco311, quercocc,0.15,1.00,0.45,1.00,0.15
8, eco311, querprin,0.37,1.00,0.44,1.00,0.37
8, eco311, querrubr,0.84,1.00,0.00,1.00,0.00
8, eco311, quervelu,0.58,1.00,0.49,1.00,0.49
8, eco311, thujocci,0.01,1.00,0.52,1.00,0.01
8, eco311, tiliamer,0.98,1.00,0.00,1.00,0.00
8, eco311, tsugcana,0.92,1.00,0.00,1.00,0.00
8, eco311, ulmuamer,0.54,1.00,0.36,1.00,0.36
9, eco311, abiebals,0.12,1.00,0.00,1.00,0.00
9, eco311, acerrubr,0.64,1.00,0.00,1.00,0.00
9, eco311, acersacc,0.97,1.00,0.00,1.00,0.00
9, eco311, betualle,0.43,1.00,0.00,1.00,0.00
9, eco311, betulent,0.99,0.00,0.00,1.00,0.00
9, eco311, betupapy,0.00,1.00,0.00,1.00,0.00
9, eco311, betupopu,0.83,1.00,0.00,1.00,0.00
9, eco311, caryglab,0.30,1.00,0.00,1.00,0.00
9, eco311, fagugran,0.73,1.00,0.00,1.00,0.00
9, eco311, fraxamer,0.65,1.00,0.00,1.00,0.00
9, eco311, fraxnigr,0.00,1.00,0.00,1.00,0.00
9, eco311, larilari,0.48,1.00,0.00,1.00,0.00
9, eco311, ostrvirg,0.74,1.00,0.00,1.00,0.00
9, eco311, piceglau,0.00,1.00,0.00,1.00,0.00
9, eco311, picemari,0.00,1.00,0.00,1.00,0.00
9, eco311, picerube,0.79,1.00,0.00,1.00,0.00
9, eco311, pinuresi,0.00,1.00,0.00,1.00,0.00
9, eco311, pinurigi,0.89,1.00,0.00,1.00,0.00
9, eco311, pinustro,0.96,1.00,0.00,1.00,0.00
9, eco311, popubals,0.31,1.00,0.00,1.00,0.00
9, eco311, popugran,0.96,1.00,0.00,1.00,0.00
9, eco311, poputrem,0.28,1.00,0.00,1.00,0.00
9, eco311, prunsero,0.72,1.00,0.00,1.00,0.00
9, eco311, queralba,0.77,1.00,0.00,1.00,0.00
9, eco311, quercocc,0.41,1.00,0.00,1.00,0.00
9, eco311, querprin,0.62,1.00,0.00,1.00,0.00
9, eco311, querrubr,0.91,1.00,0.00,1.00,0.00
9, eco311, quervelu,0.71,1.00,0.00,1.00,0.00
9, eco311, thujocci,0.00,1.00,0.00,1.00,0.00
9, eco311, tiliamer,1.00,1.00,0.00,1.00,0.00
9, eco311, tsugcana,0.98,1.00,0.00,1.00,0.00
9, eco311, ulmuamer,0.63,1.00,0.00,1.00,0.00
10, eco311, abiebals,0.73,1.00,1.00,1.00,0.73
10, eco311, acerrubr,0.45,1.00,1.00,1.00,0.45
10, eco311, acersacc,0.95,1.00,1.00,1.00,0.95
10, eco311, betualle,0.96,1.00,1.00,1.00,0.96
10, eco311, betulent,0.88,0.00,1.00,1.00,0.00
10, eco311, betupapy,0.22,1.00,1.00,1.00,0.22
10, eco311, betupopu,1.00,1.00,1.00,1.00,1.00
10, eco311, caryglab,0.03,0.00,1.00,1.00,0.00
10, eco311, fagugran,0.50,1.00,1.00,1.00,0.50
10, eco311, fraxamer,0.42,1.00,1.00,1.00,0.42
10, eco311, fraxnigr,0.75,1.00,1.00,1.00,0.75
10, eco311, larilari,0.84,1.00,1.00,1.00,0.84
10, eco311, ostrvirg,0.53,1.00,1.00,1.00,0.53
10, eco311, piceglau,0.00,1.00,1.00,1.00,0.00
10, eco311, picemari,0.00,1.00,1.00,1.00,0.00
10, eco311, picerube,0.99,1.00,1.00,1.00,0.99
10, eco311, pinuresi,0.35,1.00,1.00,1.00,0.35
10, eco311, pinurigi,0.01,0.00,1.00,1.00,0.00
10, eco311, pinustro,0.97,1.00,1.00,1.00,0.97
10, eco311, popubals,0.81,1.00,1.00,1.00,0.81
10, eco311, popugran,0.97,1.00,1.00,1.00,0.97
10, eco311, poputrem,0.84,1.00,1.00,1.00,0.84
10, eco311, prunsero,0.52,1.00,1.00,1.00,0.52
10, eco311, queralba,0.57,1.00,1.00,1.00,0.57
10, eco311, quercocc,0.00,0.00,1.00,1.00,0.00
10, eco311, querprin,0.06,0.00,1.00,1.00,0.00
10, eco311, querrubr,0.74,1.00,1.00,1.00,0.74
10, eco311, quervelu,0.43,1.00,1.00,1.00,0.43
10, eco311, thujocci,0.57,1.00,1.00,1.00,0.57
10, eco311, tiliamer,0.86,1.00,1.00,1.00,0.86
10, eco311, tsugcana,0.81,1.00,1.00,1.00,0.81
10, eco311, ulmuamer,0.45,1.00,1.00,1.00,0.45
11, eco311, abiebals,0.21,1.00,0.00,1.00,0.00
11, eco311, acerrubr,0.62,1.00,0.52,1.00,0.52
11, eco311, acersacc,0.98,1.00,0.00,1.00,0.00
11, eco311, betualle,0.52,1.00,0.27,1.00,0.27
11, eco311, betulent,1.00,0.00,0.24,1.00,0.00
11, eco311, betupapy,0.00,1.00,0.64,1.00,0.00
11, eco311, betupopu,0.87,1.00,0.00,1.00,0.00
11, eco311, caryglab,0.27,1.00,0.41,1.00,0.27
11, eco311, fagugran,0.70,1.00,0.41,1.00,0.41
11, eco311, fraxamer,0.62,1.00,0.64,1.00,0.62
11, eco311, fraxnigr,0.00,1.00,0.00,1.00,0.00
11, eco311, larilari,0.53,1.00,0.61,1.00,0.53
11, eco311, ostrvirg,0.72,1.00,0.64,1.00,0.64
11, eco311, piceglau,0.00,1.00,0.57,1.00,0.00
11, eco311, picemari,0.00,1.00,0.62,1.00,0.00
11, eco311, picerube,0.83,1.00,0.54,1.00,0.54
11, eco311, pinuresi,0.00,1.00,0.75,1.00,0.00
11, eco311, pinurigi,0.83,1.00,0.68,1.00,0.68
11, eco311, pinustro,0.98,1.00,0.74,1.00,0.74
11, eco311, popubals,0.38,1.00,0.61,1.00,0.38
11, eco311, popugran,0.98,1.00,0.66,1.00,0.66
11, eco311, poputrem,0.37,1.00,0.61,1.00,0.37
11, eco311, prunsero,0.70,1.00,0.67,1.00,0.67
11, eco311, queralba,0.75,1.00,0.72,1.00,0.72
11, eco311, quercocc,0.35,1.00,0.65,1.00,0.35
11, eco311, querprin,0.56,1.00,0.64,1.00,0.56
11, eco311, querrubr,0.90,1.00,0.42,1.00,0.42
11, eco311, quervelu,0.68,1.00,0.67,1.00,0.67
11, eco311, thujocci,0.00,1.00,0.69,1.00,0.00
11, eco311, tiliamer,1.00,1.00,0.41,1.00,0.41
11, eco311, tsugcana,0.97,1.00,0.27,1.00,0.27
11, eco311, ulmuamer,0.61,1.00,0.61,1.00,0.61
12, eco311, abiebals,0.29,1.00,0.44,1.00,0.29
12, eco311, acerrubr,0.60,1.00,0.65,1.00,0.60
