,Time,Species,X,Y,DBH,Height,CR,CD,Growth,NA
59,59,BELE,0,1,10.1766,14.9101,-1,-1,1.45296,0
60,60,BELE,0,1,10.4383,15.1568,-1,-1,1.3083,0
61,61,BELE,0,1,10.7004,15.3999,-1,-1,1.31082,0
62,62,BELE,0,1,10.963,15.6395,-1,-1,1.31299,0
63,63,BELE,0,1,11.226,15.8754,-1,-1,1.31483,0
64,64,BELE,0,1,11.4893,16.1078,-1,-1,1.31636,0
65,65,BELE,0,1,11.7528,16.3365,-1,-1,1.3176,0
66,66,BELE,0,1,12.0165,16.5616,-1,-1,1.31856,0
67,67,BELE,0,1,12.2803,16.7832,-1,-1,1.31927,0
68,68,BELE,0,1,12.5443,17.0011,-1,-1,1.31973,0
69,69,BELE,0,1,12.8083,17.2155,-1,-1,1.31996,0
70,70,BELE,0,1,13.0723,17.4264,-1,-1,1.31998,0
71,71,BELE,0,1,13.3362,17.6338,-1,-1,1.3198,0
72,72,BELE,0,1,13.6001,17.8376,-1,-1,1.31943,0
73,73,BELE,0,1,13.8639,18.0381,-1,-1,1.31888,0
74,74,BELE,0,1,14.1275,18.2351,-1,-1,1.31816,0
75,75,BELE,0,1,14.391,18.4288,-1,-1,1.31729,0
76,76,BELE,0,1,14.6542,18.6191,-1,-1,1.31627,0
77,77,BELE,0,1,14.9173,18.8061,-1,-1,1.31511,0
78,78,BELE,0,1,15.18,18.9899,-1,-1,1.31382,0
79,79,BELE,0,1,15.4425,19.1705,-1,-1,1.31241,0
80,80,BELE,0,1,15.7047,19.3479,-1,-1,1.31088,0
81,81,BELE,0,1,15.9665,19.5222,-1,-1,1.30925,0
82,82,BELE,0,1,16.228,19.6934,-1,-1,1.30752,0
83,83,BELE,0,1,16.4892,19.8615,-1,-1,1.30569,0
84,84,BELE,0,1,16.7499,20.0267,-1,-1,1.30378,0
85,85,BELE,0,1,17.0103,20.189,-1,-1,1.30179,0
86,86,BELE,0,1,17.2702,20.3484,-1,-1,1.29972,0
87,87,BELE,0,1,17.5297,20.5049,-1,-1,1.29757,0
88,88,BELE,0,1,17.7888,20.6586,-1,-1,1.29537,0
89,89,BELE,0,1,18.0474,20.8096,-1,-1,1.29309,0
90,90,BELE,0,1,18.3056,20.9578,-1,-1,1.29077,0
91,91,BELE,0,1,18.5633,21.1034,-1,-1,1.28838,0
92,92,BELE,0,1,18.8205,21.2464,-1,-1,1.28595,0
93,93,BELE,0,1,19.0772,21.3868,-1,-1,1.28347,0
94,94,BELE,0,1,19.3333,21.5247,-1,-1,1.28095,0
95,95,BELE,0,1,19.589,21.6602,-1,-1,1.27839,0
96,96,BELE,0,1,19.8442,21.7931,-1,-1,1.27579,0
97,97,BELE,0,1,20.0988,21.9237,-1,-1,1.27316,0
98,98,BELE,0,1,20.3529,22.052,-1,-1,1.2705,0
99,99,BELE,0,1,20.6065,22.178,-1,-1,1.26781,0
100,100,BELE,0,1,20.8595,22.3017,-1,-1,1.26509,0
101,101,BELE,0,1,21.112,22.4231,-1,-1,1.26235,0
102,102,BELE,0,1,21.3639,22.5424,-1,-1,1.25958,0
103,103,BELE,0,1,21.6152,22.6596,-1,-1,1.2568,0
104,104,BELE,0,1,21.866,22.7747,-1,-1,1.254,0
105,105,BELE,0,1,22.1163,22.8877,-1,-1,1.25118,0
106,106,BELE,0,1,22.3659,22.9987,-1,-1,1.24835,0
107,107,BELE,0,1,22.615,23.1077,-1,-1,1.2455,0
108,108,BELE,0,1,22.8636,23.2148,-1,-1,1.24265,0
109,109,BELE,0,1,23.1115,23.3199,-1,-1,1.23978,0
110,110,BELE,0,1,23.3589,23.4232,-1,-1,1.23691,0
111,111,BELE,0,1,23.6057,23.5247,-1,-1,1.23402,0
112,112,BELE,0,1,23.8519,23.6244,-1,-1,1.23113,0
113,113,BELE,0,1,24.0976,23.7223,-1,-1,1.22824,0
114,114,BELE,0,1,24.3427,23.8185,-1,-1,1.22534,0
115,115,BELE,0,1,24.5872,23.913,-1,-1,1.22244,0
116,116,BELE,0,1,24.8311,24.0058,-1,-1,1.21954,0
117,117,BELE,0,1,25.0744,24.097,-1,-1,1.21664,0
118,118,BELE,0,1,25.3171,24.1866,-1,-1,1.21373,0
119,119,BELE,0,1,25.5593,24.2746,-1,-1,1.21083,0
120,120,BELE,0,1,25.8009,24.3611,-1,-1,1.20793,0
121,121,BELE,0,1,26.0419,24.446,-1,-1,1.20503,0
122,122,BELE,0,1,26.2823,24.5295,-1,-1,1.20214,0
123,123,BELE,0,1,26.5222,24.6116,-1,-1,1.19924,0
124,124,BELE,0,1,26.7614,24.6922,-1,-1,1.19635,0
125,125,BELE,0,1,27.0001,24.7714,-1,-1,1.19347,0
126,126,BELE,0,1,27.2383,24.8492,-1,-1,1.19059,0
127,127,BELE,0,1,27.4758,24.9258,-1,-1,1.18772,0
128,128,BELE,0,1,27.7128,25.0009,-1,-1,1.18485,0
129,129,BELE,0,1,27.9492,25.0748,-1,-1,1.18199,0
130,130,BELE,0,1,28.185,25.1475,-1,-1,1.17913,0
131,131,BELE,0,1,28.4202,25.2189,-1,-1,1.17629,0
132,132,BELE,0,1,28.6549,25.289,-1,-1,1.17345,0
133,133,BELE,0,1,28.8891,25.358,-1,-1,1.17062,0
134,134,BELE,0,1,29.1226,25.4258,-1,-1,1.16779,0
135,135,BELE,0,1,29.3556,25.4925,-1,-1,1.16498,0
136,136,BELE,0,1,29.588,25.558,-1,-1,1.16218,0
137,137,BELE,0,1,29.8199,25.6224,-1,-1,1.15938,0
138,138,BELE,0,1,30.0512,25.6857,-1,-1,1.15659,0
139,139,BELE,0,1,30.282,25.748,-1,-1,1.15382,0
140,140,BELE,0,1,30.5122,25.8092,-1,-1,1.15105,0
141,141,BELE,0,1,30.7419,25.8694,-1,-1,1.14829,0
142,142,BELE,0,1,30.971,25.9286,-1,-1,1.14555,0
143,143,BELE,0,1,31.1995,25.9868,-1,-1,1.14281,0
144,144,BELE,0,1,31.4276,26.0441,-1,-1,1.14009,0
145,145,BELE,0,1,31.655,26.1004,-1,-1,1.13737,0
146,146,BELE,0,1,31.882,26.1557,-1,-1,1.13467,0
147,147,BELE,0,1,32.1084,26.2101,-1,-1,1.13197,0
148,148,BELE,0,1,32.3342,26.2637,-1,-1,1.12929,0
149,149,BELE,0,1,32.5595,26.3164,-1,-1,1.12662,0
150,150,BELE,0,1,32.7843,26.3682,-1,-1,1.12396,0
151,151,BELE,0,1,33.0086,26.4191,-1,-1,1.12132,0
152,152,BELE,0,1,33.2323,26.4692,-1,-1,1.11868,0
153,153,BELE,0,1,33.4555,26.5185,-1,-1,1.11605,0
154,154,BELE,0,1,33.6782,26.567,-1,-1,1.11344,0
155,155,BELE,0,1,33.9004,26.6147,-1,-1,1.11084,0
156,156,BELE,0,1,34.122,26.6617,-1,-1,1.10825,0
157,157,BELE,0,1,34.3432,26.7079,-1,-1,1.10567,0
158,158,BELE,0,1,34.5638,26.7533,-1,-1,1.10311,0
159,159,BELE,0,1,34.7839,26.798,-1,-1,1.10055,0
160,160,BELE,0,1,35.0035,26.842,-1,-1,1.09801,0
161,161,BELE,0,1,35.2226,26.8853,-1,-1,1.09548,0
162,162,BELE,0,1,35.4412,26.9279,-1,-1,1.09296,0
163,163,BELE,0,1,35.6593,26.9698,-1,-1,1.09045,0
164,164,BELE,0,1,35.8769,27.0111,-1,-1,1.08796,0
165,165,BELE,0,1,36.094,27.0517,-1,-1,1.08547,0
166,166,BELE,0,1,36.3106,27.0916,-1,-1,1.083,0
167,167,BELE,0,1,36.5267,27.131,-1,-1,1.08054,0
168,168,BELE,0,1,36.7423,27.1697,-1,-1,1.07809,0
169,169,BELE,0,1,36.9574,27.2078,-1,-1,1.07566,0
170,170,BELE,0,1,37.1721,27.2453,-1,-1,1.07323,0
171,171,BELE,0,1,37.3863,27.2822,-1,-1,1.07082,0
172,172,BELE,0,1,37.5999,27.3186,-1,-1,1.06842,0
173,173,BELE,0,1,37.8131,27.3543,-1,-1,1.06603,0
174,174,BELE,0,1,38.0259,27.3895,-1,-1,1.06366,0
175,175,BELE,0,1,38.2381,27.4242,-1,-1,1.06129,0
176,176,BELE,0,1,38.4499,27.4584,-1,-1,1.05894,0
177,177,BELE,0,1,38.6612,27.492,-1,-1,1.0566,0
178,178,BELE,0,1,38.8721,27.5251,-1,-1,1.05426,0
179,179,BELE,0,1,39.0825,27.5577,-1,-1,1.05195,0
180,180,BELE,0,1,39.2924,27.5897,-1,-1,1.04964,0
181,181,BELE,0,1,39.5019,27.6213,-1,-1,1.04734,0
182,182,BELE,0,1,39.7109,27.6525,-1,-1,1.04506,0
183,183,BELE,0,1,39.9194,27.6831,-1,-1,1.04279,0
184,184,BELE,0,1,40.1275,27.7133,-1,-1,1.04052,0
185,185,BELE,0,1,40.3352,27.743,-1,-1,1.03827,0
186,186,BELE,0,1,40.5424,27.7723,-1,-1,1.03603,0
187,187,BELE,0,1,40.7492,27.8011,-1,-1,1.03381,0
188,188,BELE,0,1,40.9555,27.8295,-1,-1,1.03159,0
189,189,BELE,0,1,41.1614,27.8575,-1,-1,1.02938,0
190,190,BELE,0,1,41.3668,27.885,-1,-1,1.02719,0
191,191,BELE,0,1,41.5718,27.9122,-1,-1,1.025,0
192,192,BELE,0,1,41.7764,27.9389,-1,-1,1.02283,0
193,193,BELE,0,1,41.9805,27.9652,-1,-1,1.02067,0
194,194,BELE,0,1,42.1842,27.9912,-1,-1,1.01852,0
195,195,BELE,0,1,42.3875,28.0167,-1,-1,1.01638,0
196,196,BELE,0,1,42.5903,28.0419,-1,-1,1.01425,0
197,197,BELE,0,1,42.7928,28.0667,-1,-1,1.01213,0
198,198,BELE,0,1,42.9948,28.0912,-1,-1,1.01002,0
199,199,BELE,0,1,43.1963,28.1153,-1,-1,1.00792,0
200,200,BELE,0,1,43.3975,28.139,-1,-1,1.00583,0
201,201,BELE,0,1,43.5983,28.1624,-1,-1,1.00376,0
202,202,BELE,0,1,43.7986,28.1854,-1,-1,1.00169,0
203,203,BELE,0,1,43.9985,28.2082,-1,-1,0.999633,0
204,204,BELE,0,1,44.198,28.2305,-1,-1,0.997587,0
205,205,BELE,0,1,44.3972,28.2526,-1,-1,0.995551,0
206,206,BELE,0,1,44.5959,28.2743,-1,-1,0.993525,0
207,207,BELE,0,1,44.7942,28.2958,-1,-1,0.991509,0
208,208,BELE,0,1,44.9921,28.3169,-1,-1,0.989503,0
209,209,BELE,0,1,45.1896,28.3377,-1,-1,0.987507,0
210,210,BELE,0,1,45.3867,28.3582,-1,-1,0.98552,0
211,211,BELE,0,1,45.5834,28.3784,-1,-1,0.983544,0
212,212,BELE,0,1,45.7797,28.3984,-1,-1,0.981577,0
213,213,BELE,0,1,45.9756,28.418,-1,-1,0.97962,0
214,214,BELE,0,1,46.1712,28.4374,-1,-1,0.977673,0
215,215,BELE,0,1,46.3663,28.4565,-1,-1,0.975735,0
216,216,BELE,0,1,46.5611,28.4753,-1,-1,0.973807,0
217,217,BELE,0,1,46.7554,28.4938,-1,-1,0.971888,0
218,218,BELE,0,1,46.9494,28.5121,-1,-1,0.969979,0
219,219,BELE,0,1,47.1431,28.5302,-1,-1,0.968078,0
220,220,BELE,0,1,47.3363,28.548,-1,-1,0.966188,0
221,221,BELE,0,1,47.5291,28.5655,-1,-1,0.964306,0
222,222,BELE,0,1,47.7216,28.5828,-1,-1,0.962433,0
223,223,BELE,0,1,47.9137,28.5998,-1,-1,0.96057,0
224,224,BELE,0,1,48.1055,28.6167,-1,-1,0.958716,0
225,225,BELE,0,1,48.2969,28.6332,-1,-1,0.95687,0
226,226,BELE,0,1,48.4879,28.6496,-1,-1,0.955034,0
227,227,BELE,0,1,48.6785,28.6657,-1,-1,0.953206,0
228,228,BELE,0,1,48.8688,28.6816,-1,-1,0.951387,0
229,229,BELE,0,1,49.0587,28.6973,-1,-1,0.949577,0
230,230,BELE,0,1,49.2483,28.7127,-1,-1,0.947776,0
231,231,BELE,0,1,49.4375,28.728,-1,-1,0.945983,0
232,232,BELE,0,1,49.6263,28.743,-1,-1,0.944199,0
233,233,BELE,0,1,49.8148,28.7579,-1,-1,0.942423,0
234,234,BELE,0,1,50.0029,28.7725,-1,-1,0.940656,0
235,235,BELE,0,1,50.1907,28.7869,-1,-1,0.938897,0
236,236,BELE,0,1,50.3781,28.8012,-1,-1,0.937147,0
237,237,BELE,0,1,50.5652,28.8152,-1,-1,0.935404,0
238,238,BELE,0,1,50.7519,28.8291,-1,-1,0.933671,0
239,239,BELE,0,1,50.9383,28.8428,-1,-1,0.931945,0
240,240,BELE,0,1,51.1244,28.8562,-1,-1,0.930227,0
241,241,BELE,0,1,51.3101,28.8695,-1,-1,0.928518,0
242,242,BELE,0,1,51.4954,28.8827,-1,-1,0.926816,0
243,243,BELE,0,1,51.6805,28.8956,-1,-1,0.925122,0
244,244,BELE,0,1,51.8651,28.9084,-1,-1,0.923437,0
245,245,BELE,0,1,52.0495,28.921,-1,-1,0.921759,0
246,246,BELE,0,1,52.2335,28.9334,-1,-1,0.920089,0
247,247,BELE,0,1,52.4172,28.9457,-1,-1,0.918427,0
248,248,BELE,0,1,52.6006,28.9578,-1,-1,0.916772,0
249,249,BELE,0,1,52.7836,28.9698,-1,-1,0.915125,0
250,250,BELE,0,1,52.9663,28.9816,-1,-1,0.913486,0
251,251,BELE,0,1,53.1486,28.9932,-1,-1,0.911854,0
252,252,BELE,0,1,53.3307,29.0047,-1,-1,0.91023,0
253,253,BELE,0,1,53.5124,29.016,-1,-1,0.908613,0
254,254,BELE,0,1,53.6938,29.0272,-1,-1,0.907004,0
255,255,BELE,0,1,53.8749,29.0382,-1,-1,0.905401,0
256,256,BELE,0,1,54.0557,29.0491,-1,-1,0.903807,0
257,257,BELE,0,1,54.2361,29.0599,-1,-1,0.902219,0
258,258,BELE,0,1,54.4162,29.0705,-1,-1,0.900639,0
259,259,BELE,0,1,54.596,29.0809,-1,-1,0.899066,0
260,260,BELE,0,1,54.7755,29.0913,-1,-1,0.8975,0
261,261,BELE,0,1,54.9547,29.1015,-1,-1,0.895941,0
262,262,BELE,0,1,55.1336,29.1115,-1,-1,0.894389,0
263,263,BELE,0,1,55.3122,29.1215,-1,-1,0.892844,0
264,264,BELE,0,1,55.4904,29.1313,-1,-1,0.891306,0
265,265,BELE,0,1,55.6684,29.141,-1,-1,0.889774,0
266,266,BELE,0,1,55.846,29.1505,-1,-1,0.88825,0
267,267,BELE,0,1,56.0234,29.16,-1,-1,0.886732,0
268,268,BELE,0,1,56.2004,29.1693,-1,-1,0.885222,0
269,269,BELE,0,1,56.3772,29.1785,-1,-1,0.883717,0
270,270,BELE,0,1,56.5536,29.1876,-1,-1,0.88222,0
271,271,BELE,0,1,56.7298,29.1965,-1,-1,0.880729,0
272,272,BELE,0,1,56.9056,29.2054,-1,-1,0.879245,0
273,273,BELE,0,1,57.0812,29.2141,-1,-1,0.877767,0
274,274,BELE,0,1,57.2564,29.2228,-1,-1,0.876295,0
275,275,BELE,0,1,57.4314,29.2313,-1,-1,0.87483,0
276,276,BELE,0,1,57.6061,29.2397,-1,-1,0.873372,0
277,277,BELE,0,1,57.7805,29.248,-1,-1,0.87192,0
278,278,BELE,0,1,57.9545,29.2562,-1,-1,0.870474,0
279,279,BELE,0,1,58.1284,29.2643,-1,-1,0.869034,0
280,280,BELE,0,1,58.3019,29.2723,-1,-1,0.867601,0
